iter	Passed	Remaining
0	213	63784
1	256	38198
2	300	29734
3	342	25338
4	387	22880
5	432	21209
6	472	19782
7	506	18496
8	540	17463
9	570	16546
10	602	15816
11	641	15399
12	684	15104
13	725	14827
14	746	14192
15	788	13987
16	806	13429
17	847	13276
18	887	13125
19	924	12946
20	966	12836
21	991	12534
22	1030	12406
23	1069	12299
24	1103	12143
25	1143	12054
26	1183	11965
27	1215	11804
28	1253	11710
29	1289	11605
30	1322	11477
31	1366	11446
32	1402	11344
33	1440	11269
34	1469	11128
35	1515	11110
36	1537	10926
37	1576	10870
38	1602	10726
39	1645	10695
40	1661	10497
41	1682	10334
42	1725	10314
43	1760	10245
44	1817	10299
45	1864	10295
46	1895	10202
47	1931	10140
48	1968	10082
49	1986	9932
50	2030	9915
51	2067	9862
52	2100	9787
53	2133	9717
54	2165	9647
55	2198	9577
56	2237	9539
57	2245	9370
58	2254	9209
59	2305	9221
60	2319	9088
61	2356	9045
62	2397	9019
63	2457	9061
64	2500	9041
65	2543	9016
66	2590	9008
67	2631	8979
68	2673	8950
69	2706	8894
70	2739	8837
71	2778	8797
72	2817	8761
73	2854	8716
74	2892	8677
75	2932	8642
76	2969	8598
77	3011	8572
78	3046	8523
79	3086	8488
80	3130	8463
81	3172	8435
82	3195	8353
83	3216	8270
84	3261	8249
85	3298	8207
86	3340	8177
87	3387	8160
88	3408	8080
89	3451	8053
90	3489	8013
91	3534	7991
92	3570	7946
93	3608	7907
94	3653	7883
95	3689	7840
96	3721	7789
97	3761	7753
98	3804	7724
99	3840	7681
100	3884	7652
101	3931	7632
102	3967	7589
103	4003	7545
104	4055	7531
105	4098	7500
106	4138	7465
107	4183	7437
108	4219	7394
109	4257	7354
110	4302	7326
111	4347	7297
112	4386	7258
113	4426	7221
114	4472	7195
115	4515	7163
116	4558	7129
117	4600	7095
118	4639	7057
119	4675	7012
120	4714	6974
121	4754	6936
122	4795	6900
123	4836	6865
124	4877	6828
125	4917	6790
126	4957	6752
127	4995	6712
128	5036	6675
129	5084	6649
130	5128	6615
131	5166	6575
132	5206	6537
133	5249	6503
134	5293	6469
135	5338	6437
136	5381	6402
137	5420	6363
138	5455	6318
139	5496	6282
140	5540	6248
141	5576	6205
142	5619	6169
143	5665	6137
144	5705	6098
145	5745	6060
146	5788	6024
147	5825	5983
148	5869	5948
149	5903	5903
150	5944	5865
151	5985	5828
152	6028	5791
153	6075	5760
154	6110	5716
155	6149	5676
156	6189	5637
157	6232	5601
158	6282	5571
159	6321	5531
160	6363	5493
161	6410	5460
162	6446	5418
163	6487	5379
164	6530	5342
165	6572	5305
166	6611	5265
167	6646	5221
168	6680	5178
169	6715	5135
170	6756	5097
171	6792	5054
172	6836	5018
173	6877	4980
174	6923	4945
175	6970	4911
176	7019	4877
177	7067	4843
178	7112	4808
179	7155	4770
180	7195	4730
181	7239	4693
182	7289	4660
183	7325	4618
184	7371	4582
185	7420	4548
186	7465	4511
187	7519	4479
188	7560	4440
189	7600	4400
190	7641	4360
191	7684	4322
192	7727	4284
193	7763	4241
194	7807	4204
195	7852	4166
196	7892	4126
197	7936	4088
198	7974	4047
199	8017	4008
200	8061	3970
201	8106	3932
202	8144	3891
203	8184	3851
204	8229	3813
205	8270	3773
206	8309	3733
207	8351	3693
208	8386	3651
209	8422	3609
210	8476	3575
211	8514	3534
212	8554	3494
213	8592	3453
214	8632	3412
215	8673	3373
216	8713	3332
217	8754	3292
218	8791	3251
219	8823	3208
220	8855	3165
221	8887	3122
222	8919	3079
223	8959	3039
224	9002	3000
225	9043	2961
226	9087	2922
227	9127	2882
228	9162	2840
229	9194	2798
230	9227	2756
231	9258	2713
232	9293	2672
233	9324	2629
234	9356	2587
235	9395	2547
236	9434	2507
237	9471	2467
238	9512	2427
239	9558	2389
240	9594	2348
241	9633	2308
242	9679	2270
243	9715	2229
244	9753	2189
245	9792	2149
246	9833	2109
247	9872	2069
248	9910	2029
249	9950	1990
250	9991	1950
251	10031	1910
252	10076	1871
253	10112	1831
254	10153	1791
255	10191	1751
256	10231	1711
257	10274	1672
258	10320	1633
259	10363	1594
260	10402	1554
261	10447	1515
262	10494	1476
263	10535	1436
264	10577	1397
265	10624	1357
266	10669	1318
267	10708	1278
268	10740	1237
269	10780	1197
270	10818	1157
271	10854	1117
272	10895	1077
273	10937	1037
274	10975	997
275	11014	957
276	11047	917
277	11086	877
278	11126	837
279	11159	797
280	11196	757
281	11230	716
282	11274	677
283	11319	637
284	11366	598
285	11412	558
286	11452	518
287	11489	478
288	11540	439
289	11585	399
290	11620	359
291	11661	319
292	11697	279
293	11730	239
294	11764	199
295	11806	159
296	11846	119
297	11881	79
298	11919	39
299	11961	0
